time,Open,High,Low,Close,Volume
2026-04-09 11:00:00,6760.2,6763.2,6754.2,6756.9,3532
2026-04-09 12:00:00,6756.7,6764.0,6754.2,6763.4,2683
2026-04-09 13:00:00,6763.4,6766.0,6756.4,6757.1,3415
2026-04-09 14:00:00,6757.1,6769.2,6755.9,6766.9,3674
2026-04-09 15:00:00,6766.9,6774.4,6762.5,6768.5,3910
2026-04-09 16:00:00,6768.5,6783.1,6765.9,6778.2,5595
2026-04-09 17:00:00,6777.9,6782.2,6763.4,6778.4,5509
2026-04-09 18:00:00,6778.4,6814.7,6771.4,6813.9,5821
2026-04-09 19:00:00,6813.9,6833.4,6813.9,6824.4,4376
2026-04-09 20:00:00,6824.4,6837.4,6822.2,6831.2,3282
2026-04-09 21:00:00,6831.2,6831.9,6810.4,6816.9,5031
2026-04-09 22:00:00,6816.9,6832.7,6815.2,6824.2,3271
2026-04-09 23:00:00,6823.7,6824.9,6816.8,6818.6,1299
2026-04-10 01:00:00,6820.4,6824.0,6814.6,6815.5,2286
2026-04-10 02:00:00,6815.5,6820.1,6812.7,6817.5,1413
2026-04-10 03:00:00,6817.5,6826.7,6813.7,6825.9,2825
2026-04-10 04:00:00,6825.8,6830.7,6822.5,6827.7,2540
2026-04-10 05:00:00,6827.7,6828.5,6821.5,6824.7,1700
2026-04-10 06:00:00,6824.7,6829.5,6824.2,6828.2,1354
2026-04-10 07:00:00,6828.2,6828.6,6823.4,6824.2,1246
2026-04-10 08:00:00,6824.2,6827.5,6823.0,6823.5,1683
2026-04-10 09:00:00,6823.5,6824.2,6816.0,6818.3,2101
2026-04-10 10:00:00,6818.3,6825.5,6817.0,6823.3,2322
2026-04-10 11:00:00,6823.3,6823.8,6812.3,6813.1,2564
2026-04-10 12:00:00,6813.1,6828.5,6813.1,6824.4,3617
2026-04-10 13:00:00,6824.3,6828.3,6819.5,6826.0,2480
2026-04-10 14:00:00,6826.0,6832.4,6824.0,6825.9,2282
2026-04-10 15:00:00,6825.9,6846.3,6824.3,6833.0,4047
2026-04-10 16:00:00,6833.0,6843.0,6825.5,6831.5,4420
2026-04-10 17:00:00,6831.5,6843.3,6824.3,6837.5,4859
2026-04-10 18:00:00,6837.5,6844.5,6815.3,6818.5,4012
2026-04-10 19:00:00,6818.5,6824.8,6808.8,6818.5,3401
2026-04-10 20:00:00,6818.5,6819.0,6808.0,6818.4,2565
2026-04-10 21:00:00,6818.4,6820.8,6812.4,6817.2,2062
2026-04-10 22:00:00,6817.0,6823.8,6810.5,6817.2,2093
2026-04-13 01:00:00,6740.0,6758.1,6731.2,6742.4,5311
2026-04-13 02:00:00,6742.4,6748.9,6736.5,6748.5,2689
2026-04-13 03:00:00,6748.3,6764.5,6741.4,6764.4,4091
2026-04-13 04:00:00,6764.4,6771.6,6764.4,6769.0,3404
2026-04-13 05:00:00,6769.0,6770.1,6764.1,6769.6,1840
2026-04-13 06:00:00,6769.6,6770.9,6765.1,6765.5,1436
2026-04-13 07:00:00,6765.5,6774.7,6763.9,6771.6,1640
2026-04-13 08:00:00,6771.6,6773.6,6768.2,6772.4,2044
2026-04-13 09:00:00,6772.4,6780.8,6772.4,6778.4,2731
2026-04-13 10:00:00,6778.4,6781.4,6774.6,6776.4,2753
2026-04-13 11:00:00,6776.4,6783.6,6774.1,6777.4,3432
2026-04-13 12:00:00,6777.4,6783.1,6776.4,6777.6,2179
2026-04-13 13:00:00,6777.6,6785.1,6775.1,6785.1,1559
2026-04-13 14:00:00,6785.0,6795.0,6768.0,6768.9,3529
2026-04-13 15:00:00,6768.9,6788.5,6766.5,6786.6,3278
2026-04-13 16:00:00,6786.6,6822.5,6785.9,6822.5,5088
2026-04-13 17:00:00,6822.3,6831.9,6809.6,6830.9,5516
2026-04-13 18:00:00,6830.9,6830.9,6817.8,6820.1,3816
2026-04-13 19:00:00,6820.1,6853.9,6815.4,6848.6,5647
2026-04-13 20:00:00,6848.6,6853.9,6844.4,6847.1,2545
2026-04-13 21:00:00,6847.4,6860.4,6847.4,6858.9,1991
2026-04-13 22:00:00,6858.9,6888.6,6856.1,6885.6,2524
2026-04-13 23:00:00,6885.4,6892.1,6883.4,6888.9,1154
2026-04-14 01:00:00,6890.5,6894.2,6888.2,6892.0,1170
2026-04-14 02:00:00,6892.0,6896.0,6887.7,6890.2,1333
2026-04-14 03:00:00,6890.2,6892.3,6885.2,6890.5,1868
2026-04-14 04:00:00,6890.5,6890.5,6886.6,6888.5,1276
2026-04-14 05:00:00,6888.5,6892.0,6887.3,6890.2,843
2026-04-14 06:00:00,6890.2,6890.2,6884.8,6888.7,732
2026-04-14 07:00:00,6888.7,6890.2,6886.4,6890.0,622
2026-04-14 08:00:00,6890.0,6890.5,6884.8,6886.5,939
2026-04-14 09:00:00,6886.5,6892.0,6884.9,6890.7,1273
2026-04-14 10:00:00,6890.7,6902.5,6889.2,6898.0,3753
2026-04-14 11:00:00,6898.0,6905.0,6896.2,6904.4,2545
2026-04-14 12:00:00,6904.5,6906.7,6896.3,6898.0,1467
2026-04-14 13:00:00,6898.0,6901.7,6892.7,6894.0,1892
2026-04-14 14:00:00,6894.0,6909.6,6892.7,6903.5,1601
2026-04-14 15:00:00,6903.7,6913.8,6901.2,6904.5,2875
2026-04-14 16:00:00,6904.5,6925.7,6902.0,6921.0,3738
2026-04-14 17:00:00,6921.0,6943.5,6920.7,6941.7,3351
2026-04-14 18:00:00,6941.7,6959.7,6935.5,6955.2,2711
2026-04-14 19:00:00,6955.2,6964.0,6954.5,6956.0,1753
2026-04-14 20:00:00,6956.0,6967.5,6956.0,6964.0,1561
2026-04-14 21:00:00,6964.0,6966.0,6948.2,6954.2,2393
2026-04-14 22:00:00,6954.2,6972.5,6953.5,6970.5,2461
2026-04-14 23:00:00,6970.7,6971.7,6965.2,6966.1,801
2026-04-15 01:00:00,6967.1,6973.4,6966.8,6970.2,1342
2026-04-15 02:00:00,6970.2,6978.4,6967.7,6973.7,1570
2026-04-15 03:00:00,6973.7,6974.4,6969.9,6973.7,1951
2026-04-15 04:00:00,6973.7,6977.4,6972.2,6976.2,1531
2026-04-15 05:00:00,6976.2,6976.2,6967.3,6969.7,1100
2026-04-15 06:00:00,6969.7,6975.9,6966.9,6974.7,755
2026-04-15 07:00:00,6974.7,6975.7,6969.9,6972.4,580
2026-04-15 08:00:00,6972.4,6981.1,6965.6,6968.7,2639
2026-04-15 09:00:00,6968.7,6972.5,6966.8,6970.2,1497
2026-04-15 10:00:00,6970.1,6971.7,6965.3,6970.2,1947
2026-04-15 11:00:00,6970.2,6975.2,6968.2,6973.5,1704
2026-04-15 12:00:00,6973.5,6975.0,6963.2,6965.2,2685
2026-04-15 13:00:00,6965.2,6970.0,6957.1,6966.7,3256
2026-04-15 14:00:00,6966.7,6982.2,6966.5,6974.0,2992
2026-04-15 15:00:00,6974.0,6976.5,6967.3,6973.5,2622
2026-04-15 16:00:00,6973.5,6989.5,6969.0,6982.7,4007
2026-04-15 17:00:00,6982.7,6997.7,6976.2,6994.0,3704
2026-04-15 18:00:00,6994.0,7002.5,6991.0,6996.7,2794
2026-04-15 19:00:00,6996.7,7005.0,6984.2,6992.2,2870
