time,Open,High,Low,Close,Volume
2026-04-08 01:00:00,4705.71,4819.64,4705.71,4818.17,26137
2026-04-08 02:00:00,4818.17,4836.25,4802.14,4833.42,26881
2026-04-08 03:00:00,4833.42,4857.71,4808.74,4817.87,28902
2026-04-08 04:00:00,4817.88,4825.37,4788.04,4810.2,33785
2026-04-08 05:00:00,4810.18,4825.27,4798.62,4804.02,18597
2026-04-08 06:00:00,4804.02,4805.81,4795.03,4797.57,17909
2026-04-08 07:00:00,4797.57,4806.52,4790.2,4803.6,15635
2026-04-08 08:00:00,4803.62,4843.82,4800.33,4827.53,18976
2026-04-08 09:00:00,4827.49,4839.81,4820.01,4820.09,21543
2026-04-08 10:00:00,4820.09,4821.21,4805.19,4813.44,17357
2026-04-08 11:00:00,4813.45,4819.95,4790.53,4793.86,18723
2026-04-08 12:00:00,4793.86,4806.67,4776.4,4783.28,18015
2026-04-08 13:00:00,4783.28,4796.14,4771.27,4782.63,16269
2026-04-08 14:00:00,4782.63,4802.72,4778.02,4798.46,22834
2026-04-08 15:00:00,4798.46,4807.19,4768.79,4799.67,25366
2026-04-08 16:00:00,4799.67,4806.7,4767.6,4777.73,33236
2026-04-08 17:00:00,4777.73,4791.95,4732.41,4736.35,37723
2026-04-08 18:00:00,4736.35,4763.16,4734.7,4756.52,28315
2026-04-08 19:00:00,4756.52,4765.62,4745.4,4760.51,22711
2026-04-08 20:00:00,4760.51,4764.41,4731.95,4734.06,23963
2026-04-08 21:00:00,4734.06,4744.49,4703.58,4705.18,31653
2026-04-08 22:00:00,4705.18,4731.87,4699.67,4730.63,24836
2026-04-09 01:00:00,4719.09,4732.42,4704.63,4717.68,11068
2026-04-09 02:00:00,4717.68,4720.0,4705.22,4715.77,11066
2026-04-09 03:00:00,4715.77,4719.14,4698.62,4706.77,16620
2026-04-09 04:00:00,4706.77,4728.17,4699.95,4727.29,21385
2026-04-09 05:00:00,4727.29,4732.93,4717.8,4719.06,15151
2026-04-09 06:00:00,4719.06,4720.42,4705.26,4711.52,13627
2026-04-09 07:00:00,4711.52,4725.38,4709.74,4721.13,10085
2026-04-09 08:00:00,4721.13,4726.63,4705.86,4713.19,15718
2026-04-09 09:00:00,4713.19,4725.41,4703.52,4712.56,17616
2026-04-09 10:00:00,4712.65,4731.45,4705.72,4724.47,20796
2026-04-09 11:00:00,4724.47,4733.32,4719.8,4726.23,15242
2026-04-09 12:00:00,4726.28,4733.38,4722.97,4729.25,14361
2026-04-09 13:00:00,4729.25,4746.79,4723.72,4741.1,15275
2026-04-09 14:00:00,4741.1,4757.57,4738.38,4756.62,14786
2026-04-09 15:00:00,4756.62,4759.68,4734.8,4745.93,19491
2026-04-09 16:00:00,4745.93,4777.22,4738.74,4764.49,27582
2026-04-09 17:00:00,4764.5,4776.35,4747.26,4768.63,27872
2026-04-09 18:00:00,4768.63,4798.03,4761.24,4792.79,30053
2026-04-09 19:00:00,4792.79,4800.97,4784.49,4788.89,21422
2026-04-09 20:00:00,4788.89,4801.22,4786.67,4797.87,17457
2026-04-09 21:00:00,4797.87,4798.16,4768.07,4772.16,21980
2026-04-09 22:00:00,4772.16,4782.6,4766.93,4768.85,18738
2026-04-10 01:00:00,4766.53,4780.19,4758.57,4764.18,7587
2026-04-10 02:00:00,4764.18,4764.24,4756.76,4763.7,8287
2026-04-10 03:00:00,4763.7,4763.73,4750.74,4762.74,13568
2026-04-10 04:00:00,4762.74,4777.16,4757.92,4764.52,18111
2026-04-10 05:00:00,4764.52,4765.41,4737.84,4753.03,17129
2026-04-10 06:00:00,4753.01,4769.64,4752.87,4766.53,13687
2026-04-10 07:00:00,4766.53,4770.79,4757.9,4758.55,7915
2026-04-10 08:00:00,4758.57,4769.18,4757.44,4765.89,11922
2026-04-10 09:00:00,4765.89,4765.89,4742.81,4746.36,17314
2026-04-10 10:00:00,4746.36,4757.61,4741.3,4749.61,15555
2026-04-10 11:00:00,4749.61,4753.3,4730.68,4740.77,17247
2026-04-10 12:00:00,4740.77,4760.84,4740.62,4751.54,17794
2026-04-10 13:00:00,4751.56,4760.73,4742.31,4757.3,14367
2026-04-10 14:00:00,4757.3,4768.82,4753.4,4768.13,14411
2026-04-10 15:00:00,4768.13,4782.3,4759.81,4771.83,24131
2026-04-10 16:00:00,4771.83,4780.21,4765.13,4775.11,25707
2026-04-10 17:00:00,4775.11,4795.03,4767.45,4774.63,27404
2026-04-10 18:00:00,4774.63,4787.26,4755.3,4762.25,25661
2026-04-10 19:00:00,4762.12,4766.14,4747.58,4763.84,21177
2026-04-10 20:00:00,4763.91,4768.67,4758.17,4760.37,16765
2026-04-10 21:00:00,4760.39,4773.16,4751.0,4765.24,16092
2026-04-10 22:00:00,4765.24,4770.46,4758.35,4759.74,15377
2026-04-13 01:00:00,4723.61,4723.61,4585.32,4659.08,20077
2026-04-13 02:00:00,4659.08,4671.92,4644.18,4671.35,14879
2026-04-13 03:00:00,4671.37,4698.52,4664.69,4695.64,18145
2026-04-13 04:00:00,4695.6,4728.09,4693.78,4721.26,23706
2026-04-13 05:00:00,4721.26,4727.84,4711.17,4720.48,16947
2026-04-13 06:00:00,4720.45,4723.97,4712.29,4718.14,13487
2026-04-13 07:00:00,4718.14,4724.99,4708.74,4723.12,10895
2026-04-13 08:00:00,4723.12,4730.78,4716.45,4729.46,14995
2026-04-13 09:00:00,4729.46,4732.8,4720.73,4725.69,17937
2026-04-13 10:00:00,4725.69,4740.03,4724.91,4733.74,17573
2026-04-13 11:00:00,4733.74,4738.65,4720.29,4723.35,17044
2026-04-13 12:00:00,4723.35,4728.51,4710.56,4714.61,16423
2026-04-13 13:00:00,4714.61,4723.97,4708.32,4722.26,14341
2026-04-13 14:00:00,4722.26,4729.12,4703.7,4706.79,18657
2026-04-13 15:00:00,4706.78,4725.19,4703.63,4723.55,20740
2026-04-13 16:00:00,4723.55,4744.72,4721.23,4730.81,29991
2026-04-13 17:00:00,4730.81,4731.3,4708.66,4719.14,27975
2026-04-13 18:00:00,4719.14,4719.87,4700.22,4714.55,24287
2026-04-13 19:00:00,4714.58,4746.22,4709.29,4733.08,26605
2026-04-13 20:00:00,4733.08,4750.12,4725.45,4729.92,20281
2026-04-13 21:00:00,4729.91,4740.75,4723.26,4738.38,16565
2026-04-13 22:00:00,4738.38,4747.46,4730.6,4741.16,17097
2026-04-14 01:00:00,4740.46,4759.52,4740.46,4757.99,9134
2026-04-14 02:00:00,4757.99,4765.93,4754.41,4757.68,10645
2026-04-14 03:00:00,4757.84,4775.82,4751.65,4769.86,16397
2026-04-14 04:00:00,4769.86,4776.96,4761.8,4764.81,21375
2026-04-14 05:00:00,4764.81,4777.18,4761.99,4775.06,15217
2026-04-14 06:00:00,4775.05,4775.57,4765.78,4768.03,11937
2026-04-14 07:00:00,4768.19,4777.03,4767.0,4774.17,8752
